objectid,filename,Pager Identifier,Page number,Stope Book Name,Stope Book number,Volume number,Sill number,subject,Level & Floor,title,description,map_type,county,location,latitude,longitude,geomethod,datum,date,creator,identifier,scanned,optimized,map_width_inches,map_length_inches,relations_defined,relations_defined_staff,map_scale,township,range,section,format
3,3.jpg,SPINE,SPINE,ALICE,U-27,1,1-6,SPINE OF STOPE BOOK U-27; VOLUME 1,SPINE OF STOPE BOOK U-27; VOLUME 1,SPINE OF STOPE BOOK U-27; VOLUME 1,SPINE OF STOPE BOOK U-27; VOLUME 1,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,4,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
4,4.jpg,NO PAGE NUMBER,1,ALICE,U-27,1,1-6,BEGINNING OF STOPE BOOK U-27; VOLUME 1,BEGINNING OF STOPE BOOK U-27; VOLUME 1,BEGINNING OF STOPE BOOK U-27; VOLUME 1,BEGINNING OF STOPE BOOK U-27; VOLUME 1,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
5,5.jpg,1,2,ALICE,U-27,1,1-6,,BLANK PAGE,BLANK PAGE,ELEVATION: 6428.9'; BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
6,6.jpg,2,3,ALICE,U-27,1,1-6,CLARK'S FRACTION,CLARK'S FRACTION 200 SILL; CLARK'S FRACTION 300 SILL; CLARK'S FRACTION 400 SILL; CLARK'S FRACTION 500 SILL (COMPOSITE),CLARK'S FRACTION 200 SILL; CLARK'S FRACTION 300 SILL; CLARK'S FRACTION 400 SILL; CLARK'S FRACTION 500 SILL (COMPOSITE),ELEVATION: 6421.1',Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
7,7.jpg,3,4,ALICE,U-27,1,1-6,,BLANK PAGE,BLANK PAGE,ELEVATION: 6413.3'; BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
8,8.jpg,4,5,ALICE,U-27,1,1-6,LEESEE SHAFT COLLAR,LESSEE SHAFT COLLAR,LESSEE SHAFT COLLAR,ELEVATION: 6405.4'; 6415.0' AT THE LESSEE SHAFT COLOR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1942,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
9,9.jpg,5,6,ALICE,U-27,1,1-6,,BLANK PAGE,BLANK PAGE,ELEVATION: 6397.6'; BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1942,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
10,10.jpg,6,7,ALICE,U-27,1,1-6,,BLANK PAGE,BLANK PAGE,ELEVATION: 6389.7'; BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1942,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
11,11.jpg,7,8,ALICE,U-27,1,1-6,LEESEE SHAFT COLLAR,LESSEE SHAFT COLLAR,LESSEE SHAFT COLLAR,ELEVATION: 6381.9'; 6383.6' AT THR LESSEE SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1942,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
12,12.jpg,8,9,ALICE,U-27,1,1-6,IVEY SHAFT COLLAR; LESSEE SHAFT COLLAR; MAGNA CHARTA SHAFT COLLAR; MAGNA CHARTA - LEASER'S SHAFT COLLAR; IVY SHAFT; JAMES SHAFT COLLAR,IVEY SHAFT COLLAR; JAMES SHAFT COLLAR; LEESEE SHAFT COLLAR; LEASER'S SHAFT SURFACE; MAGNA CHARTA SURFACE; MAGNA CHARTA SHAFT COLLAR; MAGNA CHARTA - LEASER'S SHAFT COLLAR,IVEY SHAFT COLLAR; JAMES SHAFT COLLAR; LEESEE SHAFT COLLAR; LEASER'S SHAFT SURFACE; MAGNA CHARTA SURFACE; MAGNA CHARTA SHAFT COLLAR; MAGNA CHARTA - LEASER'S SHAFT COLLAR,ELEVATION: 6374.0'; 6379.0' AT THE MAGNA CHARTA SHAFT; 6377.0' APPROX. AT THE MAGNA CHARTA LESSER'S SHAFT; 6376.3' AT THE IVEY SHAFT COLLAR; 6373.5' AT THE JAMES SHAFT; 6370.8' AT THE LESSEE SHAFT COLLAR,Underground Workings,Silver Bow,Butte*,46.033297,-112.532573,Google Earth,WGS84,1/1/1890,Anaconda Copper Mining Company,Digital Copy Only,1,1,46,19,NO,,"1"" = 50'",03N,08W,1,image;jpg
